하자,40,142
마타,72,154
차타,42,186
파아,64,162
하파,94,159
사가,81,199
하하,51,183
라아,76,176
마파,72,176
파라,75,174
가사,90,190
라라,56,181
차마,42,164
마나,80,143
마자,79,154
타하,47,180
하자,87,195
자카,87,188
나마,51,181
다마,86,178
다아,59,189
하아,76,156
차나,51,199
카라,83,152
차카,77,185
바차,94,171
자아,98,195
가차,96,175
카카,62,178
자타,92,187
마하,90,153
카파,92,177
아바,41,177
타아,45,177
사타,90,196
자타,70,188
파다,43,167
라자,55,187
다라,92,155
마타,91,186
사가,49,161
카아,95,175
사바,93,172
차마,84,179
라하,51,192
카사,65,189
차하,62,199
마자,47,141
자가,80,169
마사,65,183
다다,77,175
아하,46,143
라자,75,152
마바,63,155
사다,65,172
카타,87,193
하사,71,163
타사,92,187
카아,95,146
타라,82,182
하가,43,149
나카,45,166
자다,45,154
바카,56,185
타나,95,149
바마,70,194
라파,45,195
가바,95,155
타마,55,140
다하,73,194
타가,93,179
바마,52,146
사차,98,198
타라,61,149
사가,92,144
다나,96,154
라가,92,142
나사,71,187
아차,44,197
자바,94,190
사마,80,188
하차,81,179
마라,40,198
바가,44,163
자가,70,190
나마,67,167
가타,61,166
파마,44,174
마아,50,143
하가,61,195
아바,61,146
다라,90,151
가다,58,152
라가,43,169
하아,54,191
카차,56,178
가카,89,140
타가,97,159
자타,76,191
나파,75,159
자자,94,170
자마,71,156
하라,81,166
하다,79,168
사다,94,146
다아,51,145
파라,99,142
마다,49,154
차자,59,159
다자,95,168
나차,97,198
바파,84,180
아카,63,157
파라,76,151
자다,95,145
마가,56,145
바가,65,169
파다,44,153
자다,92,163
라라,82,142
타카,66,150
하타,55,173
마다,57,195
차차,84,159
마바,43,164
타하,44,169
차아,85,199
바나,86,147
자하,68,194
바타,80,198
파가,55,160
타파,70,150
가나,50,158
사마,62,186
자아,58,155
아나,63,159
자차,83,187
자타,94,186
사아,45,188
자아,81,178
다라,59,166
파카,90,178
파라,76,192
나가,73,158
카카,82,196
하아,86,180
차파,94,148
하하,94,185
타차,42,195
아파,69,177
타다,55,144
마타,63,162
파마,71,171
마카,58,162
마차,99,157
하아,96,180
마차,96,177
라차,82,143
마가,53,198
다나,96,175
바나,91,146
파라,94,146
하바,56,159
파나,96,152
하마,76,166
라가,60,199
카나,50,166
카파,79,144
마차,71,158
타자,58,189
라아,99,166
차차,83,176
차바,64,162
사나,96,189
차다,85,148
다차,90,176
마자,88,197
사타,96,177
나사,49,181
바가,55,157
나나,80,153
자파,54,186
사다,59,170
마자,84,174
나사,63,196
자라,81,140
나파,96,150
바가,87,183
라바,97,162
파마,92,152
나가,67,185
아하,79,197
타사,76,162
라다,88,143
마타,80,162
라나,64,194
나아,68,196
타차,78,193
나하,75,198
사하,51,140
하마,68,142
파아,49,170
카아,82,143
나자,90,163
마나,89,186
라가,49,164
사라,99,148
사라,63,181
